question	answer	label
What is GST?	Goods and Services Tax	1
Explain GST?	Goods and Services Tax	1
Explain goods & services tax	Goods and Services Tax	1
What is the tax on goods?	Goods and Services Tax	1
What is GST on exports?	Generally GST-free if exported within the required timeframe	1
Do I charge GST on exports?	Generally GST-free if exported within the required timeframe	1
What is STP?	Single Touch Payroll reporting to the ATO	1
Define STP	Single Touch Payroll reporting to the ATO	1
What does STP mean?	Single Touch Payroll reporting to the ATO	1
How do I report PAYGW?	Report pay as you go withholding on your BAS	1
How should PAYGW be reported?	Report pay as you go withholding on your BAS	1
When is BAS due quarterly?	28 days after the end of the quarter, unless deferred	1
Quarterly BAS lodgment deadline?	28 days after the end of the quarter, unless deferred	1
What is the quarterly BAS due date?	28 days after the end of the quarter, unless deferred	1
When is BAS due monthly?	21 days after the end of the month, unless deferred	1
Monthly BAS deadline?	21 days after the end of the month, unless deferred	1
Monthly BAS due date?	21 days after the end of the month, unless deferred	1
What are PAYG instalments?	Prepayments of tax based on business income	1
How should PAYG instalments be paid?	Prepayments of tax based on business income	1
What is a BAS statement?	A business activity statement lodgment to report GST and PAYG	1
Define business activity statement	A business activity statement lodgment to report GST and PAYG	1
How do I lodge BAS?	Submit your BAS online, through a registered agent, or by mail	1
How do I submit BAS online?	Submit your BAS online, through a registered agent, or by mail	1
What is GST?	Single Touch Payroll reporting to the ATO	0
Explain GST?	Report pay as you go withholding on your BAS	0
What is STP?	Goods and Services Tax	0
Define STP	Prepayments of tax based on business income	0
How do I report PAYGW?	Generally GST-free if exported within the required timeframe	0
When is BAS due quarterly?	21 days after the end of the month, unless deferred	0
Quarterly BAS lodgment deadline?	21 days after the end of the month, unless deferred	0
When is BAS due monthly?	28 days after the end of the quarter, unless deferred	0
Monthly BAS deadline?	Goods and Services Tax	0
What are PAYG instalments?	Single Touch Payroll reporting to the ATO	0
How should PAYG instalments be paid?	It is a payroll tax for employees only	0
What is a BAS statement?	Single Touch Payroll reporting to the ATO	0
How do I lodge BAS?	It is a payroll tax for employees only	0
What is GST on exports?	Submit your BAS online, through a registered agent, or by mail	0
Do I charge GST on exports?	Report pay as you go withholding on your BAS	0
How should PAYGW be reported?	Goods and Services Tax	0
Explain goods & services tax	A business activity statement lodgment to report GST and PAYG	0
Explain goods & services tax	Generally GST-free if exported within the required timeframe	0
Explain GST?	A business activity statement lodgment to report GST and PAYG	0
What is the tax on goods?	A business activity statement lodgment to report GST and PAYG	0
What is GST?	A business activity statement lodgment to report GST and PAYG	0
What is GST on exports?	A business activity statement lodgment to report GST and PAYG	0
What is GST on exports?	Goods and Services Tax	0
Monthly BAS due date?	21 days after the end of the month, unless deferred	0
How do I submit BAS online?	Submit your BAS online, through a registered agent, or by mail	0
Do I charge GST on exports?	A business activity statement lodgment to report GST and PAYG	0
What's GST in Australia?	Goods and Services Tax	1
Tell me about the tax on goods?	Goods and Services Tax	1
Goods & services tax meaning?	Goods and Services Tax	1
When are quarterly BAS due?	28 days after the end of the quarter, unless deferred	1
BAS due dates for monthly cycle?	21 days after the end of the month, unless deferred	1
