org_id,employee_id,pay_period_start,pay_period_end,gross_pay,payg_withheld,super_accrued,employment_type,anomaly_flag
ORG-001,EMP-001,2024-01-01,2024-01-14,3200,620,352,full_time,0
ORG-001,EMP-002,2024-01-01,2024-01-14,1800,360,198,part_time,0
ORG-002,EMP-003,2024-01-01,2024-01-14,4500,900,495,full_time,0
ORG-002,EMP-004,2024-01-01,2024-01-14,4000,400,200,contractor,1
ORG-003,EMP-005,2024-01-01,2024-01-14,2900,290,319,contractor,1
ORG-003,EMP-006,2024-01-01,2024-01-14,2100,420,231,part_time,0
ORG-004,EMP-007,2024-01-01,2024-01-14,5000,1100,550,full_time,0
ORG-004,EMP-008,2024-01-01,2024-01-14,2500,450,275,full_time,0
ORG-005,EMP-009,2024-01-01,2024-01-14,4700,470,517,contractor,1
ORG-005,EMP-010,2024-01-01,2024-01-14,3150,378,347,part_time,0
ORG-006,EMP-011,2024-01-01,2024-01-14,3900,780,429,full_time,0
ORG-006,EMP-012,2024-01-01,2024-01-14,2050,205,226,contractor,1
